,chi2,gain,indexes,noise,noise-pe,ntot,pedestal,pes
43,3.39129309532,18.0633008661,257,2.7404648209,1.98688942446,28872.8442939,0.588849309062,2.71553581303
44,10.9205093085,15.6274171329,938,1.81872292087,1.67651322808,28214.028779,-0.126969757469,0.272711590482
45,8.31229774946,16.1883764306,1611,1.42006866131,1.84224008653,28723.5497317,0.0482355034516,2.53984959809
46,5.74188869822,16.2949016264,1031,3.70632044581,1.69399754679,28085.4141554,0.465799377906,2.71096638846
47,6.66697519522,17.1583021799,925,1.69664516286,1.94238411425,28812.7402595,0.138323525848,1.71424668097
48,4.86531703889,15.9509623743,753,1.89567773236,1.80747430987,29302.588983,0.495135999901,2.58495175616
49,5.35686517568,15.6465220197,1558,1.46592226713,1.53933656111,29113.505816,-0.126097380124,2.06702652448
50,5.54872628598,14.9216845126,460,2.31477973126,2.33314086667,28989.0913793,0.0166185555748,0.286782754868
51,2.70881549882,17.5059712502,1078,2.25732377797,1.99926482509,29231.559615,2.64985867071,2.81394434033
52,4.59119612995,16.1938225257,1175,2.19171184732,1.75738375135,29199.3730517,0.256782125132,2.44813291363
53,4.18707877526,16.469990926,733,1.94903061813,1.86575842907,29367.1965671,0.449182898068,2.70691187597
54,6.5254589745,16.4972991858,973,1.63296602391,1.69370077304,29026.9046194,-0.274982062941,2.80037784323
55,8.34507204491,16.0619200538,421,1.47267604154,1.71296615316,28739.742229,-0.145610285989,2.51309819003
56,6.01690895168,16.5434598964,1259,1.89318209642,1.6992659694,28952.4293742,-0.203862035705,1.93642570634
57,3.97677658814,16.6469170487,575,2.11423317501,1.81332882307,29212.0212395,2.24132279918,2.2950493684
58,9.51799020959,15.7615977708,1537,1.49842730971,1.4383329849,28411.86035,0.0641168919363,0.67797296974
59,3.41573420892,16.8565743193,272,2.60417036905,1.74981903575,29232.7741966,0.481132653153,2.57129582365
60,7.64463016811,15.9408426932,510,1.74721736079,1.74965861683,28729.9706294,0.115977449985,1.73735649863
61,6.34119028714,15.2842229944,819,1.59770450545,1.70815643801,29033.8194797,-0.0718839261764,2.30489498558
62,8.70349492967,15.9754256188,132,1.64112842668,2.1503707607,28617.4484695,-0.0999066485537,0.249255013176
63,3.53334265288,17.5327587346,1141,2.13199979037,1.78803740498,29177.1467738,1.12685113663,2.49475079266
64,4.43297189648,16.2069621015,1090,2.57698430989,1.67749200432,29190.7629329,0.124707050638,2.64117605633
65,10.2920679759,15.4556956676,1776,1.74146699486,2.35146770442,28351.1178036,-0.168731537157,0.178912556706
66,5.13408530533,15.3373521684,1186,1.92726221122,1.60131712024,29210.4091039,-0.0602290436958,2.26521040432
67,10.3181423609,16.4110038281,231,1.25827899402,1.64821282951,28294.6136058,0.731267631017,1.96327076284
68,6.39239595299,15.4613902369,619,2.15194738114,1.71095381312,29192.1743442,-0.206853381114,2.83448335675
69,5.11091612988,15.9667973988,1094,3.65850677661,1.66107330151,28425.0727198,0.488731421574,2.70474265222
70,9.69546111389,15.8568502808,1597,1.49827091005,1.45110753155,28370.4701022,-0.058641440162,0.632394078434
71,5.64886325345,16.9856441253,478,1.96398515276,1.84736241186,28987.2099083,0.117079093191,1.84266741388
72,3.69460012885,17.4171869313,1058,2.39963367616,1.91683713794,29135.3406799,1.24336481777,2.86002509547
73,3.54727795987,17.1901920516,280,2.59924733092,1.76556760422,29106.3868911,0.860750503642,2.44972903765
74,4.68646889083,16.1834237251,1404,1.92955709366,1.87133495672,29356.9047202,-0.0607692449264,2.63706977887
75,10.1698881441,16.2558672901,932,1.65482860662,1.57809904301,28314.6097947,-0.0318898034324,0.473169318231
76,5.9691077798,15.2095692188,1736,1.73152507069,1.56081931708,28985.2246902,0.141641473288,1.60941057531
77,6.10470992396,14.9542721904,706,1.85831906727,1.67884515997,29235.9170426,0.139869345266,2.64380963693
78,6.12596670511,16.626208155,1190,1.52594050871,1.66590512182,29003.7924792,-0.072271119439,2.34781761566
79,7.46301971557,16.3881022253,506,1.72573600021,1.74879528519,28737.0438132,-0.119436734522,1.75566117679
80,4.87631655678,16.7983784595,1132,1.95719940366,1.71281889238,29148.5621736,0.107209698451,2.63549765564
81,8.39116859644,17.3735914479,1553,1.46534151681,1.81549216947,28539.1729136,-0.205070741941,1.96938559889
82,4.85024303042,15.7401163898,552,2.26651103565,1.57161336546,29154.2632709,1.93180346538,0.731722838221
83,5.92982288143,16.1439855608,787,1.54720600719,1.78950557273,29090.731228,0.0118298813441,2.37588028857
84,5.53326848379,15.9497952075,1361,1.95283120545,1.79826941884,29313.443522,-0.238252168265,2.6865425724
85,7.51328637337,15.5572225459,26,1.88872244856,2.27769757026,28774.4541347,-0.135748288728,0.194050283318
